Price Category,OEM,Vehicle,Car Category,Cost,FY18,FY19
25-30,Isuzu,ISUZU MUX,SUV,28.22,,
25-30,Kia,Carnival,MPV,25.15,,
25-30,Mahindra,Alturas G4,SUV,28.69,356,2042
25-30,Mitsubishi,Outlander,SUV,26.93,,
25-30,Mitsubishi,Pajero Sport,SUV,30,,
30-40,Mercedes-Benz,GLA-Class,Hatch,38.64,,
30-40,Skoda ,Kodiaq,Crossover SUV,36.78,2025,1719
30-40,Toyota,Camry,Sedan,37.88,334,672
30-40,Toyota,Fortuner,SUV,33.95,21800,15488
30-40,Volkswagen,Tiguan Allspace,Compact crossover SUV,33.13,1228,1208
30-40,Volkswagen,Passat,Sedan,30.12,618,305
30-40,Volvo,S60,sedan,38.5,,
30-40,Volvo,XC40,Compact SUV,39.9,,
40-60,Audi,A4,Sedan,46.96,,
40-60,Audi,A6,Sedan,59.42,,
40-60,Audi,Q3,Compact crossover SUV,43.61,,
40-60,Audi,Q5,Crossover SUV,56.21,,
40-60,BMW,5 Series,Sedan,55.4,,
40-60,BMW,X3,Compact crossover SUV,56,,
40-60,Land Rover,Discovery Sport,Compact crossover SUV,60.89,,
40-60,Land Rover,Range Rover Evoque,SUV,59.85,,
40-60,Mercedes-Benz,C-Class,Sedan,51.25,,
40-60,Mercedes-Benz,GLC,SUV,57.75,,
40-60,Toyota,Prius,Sedan,45.53,,
40-60,Volvo,S60,Sedan,56.02,,
40-60,Volvo,S60 Cross Country,Sedan,44.26,,
40-60,Volvo,S90,Sedan,58.9,,
40-60,Volvo,XC60,Compact crossover SUV,59.9,,
60-100,Audi,A5,Coupe,69.48,,
60-100,Audi,Q7,SUV,77.11,,
60-100,Audi,S5,Coupe,72.65,,
60-100,BMW,5 Series,Sedan,68.4,,
60-100,BMW,6 Series,Sedan,75.9,,
60-100,BMW,M2,Coupe,83.4,,
60-100,BMW,X4,SUV,67.9,,
60-100,FCA,Grand Cherokee,SUV,89.31,,
60-100,Ford,Mustang,Sports Car,74.62,,
60-100,Jeep,Wrangler,Off Raod SUV,68.94,,
60-100,Land Rover,Defender,Crossover SUV,80.43,,
60-100,Land Rover,Range Rover Sport,SUV,94.8,,
60-100,Land Rover,Range Rover Velar,Crossover SUV,71.87,,
60-100,Mercedes-Benz,E-Class,Sedan,75.29,,
60-100,Mercedes-Benz,GLC-Coupe,SUV,63.7,,
60-100,Mercedes-Benz,GLE,SUV,73.7,,
60-100,Mercedes-Benz,GLS,SUV,87.76,,
60-100,Mercedes-Benz,V-Class,MPV,81.9,,
60-100,Toyota,VELLFIRE,MPV,,,
60-100,Toyota,VELLFIRE,MPV,79.5,0,30
60-100,Toyota,Land Cruiser,SUV,86,137,123
60-100,Volvo,V90 Cross Country,Sedan,65.31,,
